slug,display_name
hku,HKU
nus,NUS
eth,ETH
ntu,NTU
hkust,HKUST
cuhk,CUHK
melbourne,Melbourne
tum,TUM
epfl,EPFL
sydney,Sydney
unsw,UNSW
psl,PSL
ip_paris,IP Paris
anu,ANU
uva,UvA
tu_delft,TU Delft
polyu,PolyU
cityu,CityU
monash,Monash
uq,UQ
lmu,LMU
sorbonne,Sorbonne
paris-saclay,Paris-Saclay
suad,SUAD
ku_leuven,KU Leuven
auckland,Auckland
uwa,UWA
adelaide,Adelaide
copenhagen,Copenhagen
heidelberg,Heidelberg
uzh,UZH
kth,KTH
utrecht,Utrecht
leiden,Leiden
tcd,TCD
uts,UTS
fu berlin,FU Berlin
humboldt,Humboldt
lund,Lund
uppsala,Uppsala
polimi,Polimi
barcelona,Barcelona
oslo,Oslo
erasmus,Erasmus
vu_amsterdam,VU Amsterdam
groningen,Groningen
wur,WUR
kit,KIT
vienna,Vienna
bonn,Bonn
tubingen,Tübingen
paris_cite,Paris Cité
ghent,Ghent
rwth_aachen,RWTH Aachen
